id,host_is_superhost,zipcode,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,host_experience
6106498,0,98107,House,Private room,2,1.0,1.0,1.0,55.0,0.0,15.0,1,1,1,1125,23,1.0
9331449,0,98107,Townhouse,Private room,2,1.5,1.0,1.0,45.0,100.0,8.0,2,1,1,1125,2,3.0
8799162,0,98107,House,Private room,2,1.0,1.0,1.0,79.0,0.0,0.0,1,0,1,7,0,1.0
4317390,0,98107,House,Entire home/apt,8,1.0,2.0,6.0,133.0,350.0,50.0,4,1,2,1125,39,2.0
3884851,1,98107,Apartment,Private room,2,1.0,1.0,1.0,65.0,0.0,5.0,1,0,2,1125,64,2.0
3155785,0,98107,Apartment,Private room,1,2.0,1.0,1.0,61.0,0.0,15.0,1,0,1,1125,4,3.0
9368517,0,98107,House,Entire home/apt,4,2.0,3.0,3.0,200.0,200.0,60.0,1,0,4,7,0,1.0
5643240,0,98107,Apartment,Entire home/apt,2,1.0,1.0,1.0,70.0,250.0,50.0,1,0,5,1125,8,2.0
5042014,0,98107,House,Private room,1,1.0,1.0,1.0,52.0,0.0,20.0,1,0,30,90,14,2.0
7724630,0,98107,Apartment,Private room,2,1.0,1.0,1.0,50.0,0.0,0.0,1,1,1,1125,1,1.0
9449437,0,98107,Townhouse,Entire home/apt,8,2.5,4.0,4.0,275.0,500.0,50.0,8,1,1,1125,0,3.0
3053237,1,98107,House,Entire home/apt,2,1.0,1.0,1.0,149.0,100.0,50.0,1,0,2,1125,85,2.0
8132347,0,98107,House,Entire home/apt,8,2.0,2.0,4.0,199.0,150.0,85.0,5,1,1,1125,0,4.0
63733,0,98107,Apartment,Entire home/apt,2,1.0,1.0,1.0,89.0,0.0,0.0,2,0,2,14,125,6.0
227636,1,98107,Apartment,Entire home/apt,3,1.0,1.0,2.0,120.0,200.0,55.0,2,1,2,120,131,5.0
3689119,1,98107,House,Entire home/apt,2,1.0,0.0,1.0,85.0,0.0,30.0,1,0,2,1125,49,5.0
1179538,0,98107,House,Private room,4,1.5,1.0,2.0,80.0,200.0,15.0,4,1,1,1125,2,3.0
6823781,0,98107,House,Entire home/apt,3,1.0,1.0,3.0,89.0,0.0,55.0,2,1,2,1125,28,1.0
2284536,0,98107,House,Entire home/apt,4,1.0,1.0,1.0,99.0,100.0,30.0,2,1,2,1125,111,6.0
5143441,1,98107,Apartment,Entire home/apt,4,1.0,1.0,3.0,110.0,95.0,35.0,2,1,1,16,49,6.0
5749958,0,98107,House,Entire home/apt,6,1.0,2.0,3.0,180.0,250.0,80.0,4,1,3,1125,28,4.0
9116815,0,98107,Apartment,Entire home/apt,4,1.0,2.0,2.0,150.0,0.0,0.0,1,0,2,1125,0,6.0
7731836,0,98107,Apartment,Entire home/apt,4,1.0,1.0,2.0,70.0,0.0,0.0,1,0,1,1125,3,3.0
10262971,0,98107,House,Private room,2,1.0,1.0,1.0,70.0,0.0,0.0,1,0,1,1125,0,3.0
1407502,0,98107,House,Private room,1,1.0,1.0,1.0,75.0,100.0,25.0,1,0,4,1125,9,3.0
8817038,0,98107,Apartment,Entire home/apt,4,1.0,2.0,2.0,85.0,100.0,0.0,4,1,2,45,12,4.0
4449303,1,98107,House,Private room,2,1.0,1.0,1.0,80.0,250.0,25.0,1,1,1,1125,50,2.0
