Price,January,February,March,April,May,June,July,August,September,October,November,December,accommodates,bathrooms,bedrooms,beds,cleaning_fee,guests_included,extra_people,Apartment,Bed_Breakfast,Boat,Bungalow,Cabin,Camper_RV,Chalet,Condominium,Dorm,House,Loft,Other,Townhouse,Yurt,98101,98102,98103,98104,98105,98106,98107,98108,98109,98112,98115,98116,98117,98118,98119,98121,98122,98125,98126,98133,98134,98136,98144,98146,98177,98178,98199
49.0,0,0,0,0,0,0,0,0,0,1,0,0,2,1.0,1.0,1.0,25.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53.0,0,0,0,0,0,0,0,0,1,0,0,0,2,1.0,1.0,1.0,25.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165.0,0,0,0,1,0,0,0,0,0,0,0,0,4,1.0,2.0,5.0,95.0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
185.0,0,0,0,0,0,0,0,1,0,0,0,0,4,1.0,2.0,5.0,95.0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
165.0,0,0,0,0,0,0,0,0,0,0,0,1,4,1.0,2.0,5.0,95.0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
165.0,0,1,0,0,0,0,0,0,0,0,0,0,4,1.0,2.0,5.0,95.0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
165.0,1,0,0,0,0,0,0,0,0,0,0,0,4,1.0,2.0,5.0,95.0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
185.0,0,0,0,0,0,0,1,0,0,0,0,0,4,1.0,2.0,5.0,95.0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
185.0,0,0,0,0,0,1,0,0,0,0,0,0,4,1.0,2.0,5.0,95.0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
165.0,0,0,1,0,0,0,0,0,0,0,0,0,4,1.0,2.0,5.0,95.0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
175.0,0,0,0,0,1,0,0,0,0,0,0,0,4,1.0,2.0,5.0,95.0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
165.0,0,0,0,0,0,0,0,0,0,0,1,0,4,1.0,2.0,5.0,95.0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
165.0,0,0,0,0,0,0,0,0,0,1,0,0,4,1.0,2.0,5.0,95.0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
185.0,0,0,0,0,0,0,0,0,1,0,0,0,4,1.0,2.0,5.0,95.0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
125.0,0,0,0,1,0,0,0,0,0,0,0,0,3,1.0,2.0,2.0,85.0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
125.0,0,0,0,0,0,0,0,1,0,0,0,0,3,1.0,2.0,2.0,85.0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
125.0,0,0,0,0,0,0,0,0,0,0,0,1,3,1.0,2.0,2.0,85.0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
125.0,0,1,0,0,0,0,0,0,0,0,0,0,3,1.0,2.0,2.0,85.0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
125.0,1,0,0,0,0,0,0,0,0,0,0,0,3,1.0,2.0,2.0,85.0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
125.0,0,0,0,0,0,0,1,0,0,0,0,0,3,1.0,2.0,2.0,85.0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
125.0,0,0,0,0,0,1,0,0,0,0,0,0,3,1.0,2.0,2.0,85.0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
125.0,0,0,1,0,0,0,0,0,0,0,0,0,3,1.0,2.0,2.0,85.0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
125.0,0,0,0,0,1,0,0,0,0,0,0,0,3,1.0,2.0,2.0,85.0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
125.0,0,0,0,0,0,0,0,0,0,0,1,0,3,1.0,2.0,2.0,85.0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
125.0,0,0,0,0,0,0,0,0,0,1,0,0,3,1.0,2.0,2.0,85.0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
125.0,0,0,0,0,0,0,0,0,1,0,0,0,3,1.0,2.0,2.0,85.0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
541.0,0,0,0,1,0,0,0,0,0,0,0,0,10,2.0,3.0,5.0,300.0,8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
396.0,0,0,0,0,0,0,0,1,0,0,0,0,10,2.0,3.0,5.0,300.0,8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
405.0,0,0,0,0,0,0,0,0,0,0,0,1,10,2.0,3.0,5.0,300.0,8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
421.0,0,1,0,0,0,0,0,0,0,0,0,0,10,2.0,3.0,5.0,300.0,8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
332.0,1,0,0,0,0,0,0,0,0,0,0,0,10,2.0,3.0,5.0,300.0,8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
396.0,0,0,0,0,0,0,1,0,0,0,0,0,10,2.0,3.0,5.0,300.0,8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
397.0,0,0,0,0,0,1,0,0,0,0,0,0,10,2.0,3.0,5.0,300.0,8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
468.0,0,0,1,0,0,0,0,0,0,0,0,0,10,2.0,3.0,5.0,300.0,8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
412.0,0,0,0,0,1,0,0,0,0,0,0,0,10,2.0,3.0,5.0,300.0,8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
397.0,0,0,0,0,0,0,0,0,0,0,1,0,10,2.0,3.0,5.0,300.0,8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400.0,0,0,0,0,0,0,0,0,0,1,0,0,10,2.0,3.0,5.0,300.0,8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
402.0,0,0,0,0,0,0,0,0,1,0,0,0,10,2.0,3.0,5.0,300.0,8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195.0,0,0,0,1,0,0,0,0,0,0,0,0,4,1.0,1.0,2.0,96.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
254.0,0,0,0,0,0,0,0,1,0,0,0,0,4,1.0,1.0,2.0,96.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
254.0,0,0,0,0,0,0,0,0,0,0,0,1,4,1.0,1.0,2.0,96.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
149.0,0,1,0,0,0,0,0,0,0,0,0,0,4,1.0,1.0,2.0,96.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
178.0,1,0,0,0,0,0,0,0,0,0,0,0,4,1.0,1.0,2.0,96.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
254.0,0,0,0,0,0,0,1,0,0,0,0,0,4,1.0,1.0,2.0,96.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
264.0,0,0,0,0,0,1,0,0,0,0,0,0,4,1.0,1.0,2.0,96.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
191.0,0,0,1,0,0,0,0,0,0,0,0,0,4,1.0,1.0,2.0,96.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
221.0,0,0,0,0,1,0,0,0,0,0,0,0,4,1.0,1.0,2.0,96.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
254.0,0,0,0,0,0,0,0,0,0,0,1,0,4,1.0,1.0,2.0,96.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
254.0,0,0,0,0,0,0,0,0,0,1,0,0,4,1.0,1.0,2.0,96.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
254.0,0,0,0,0,0,0,0,0,1,0,0,0,4,1.0,1.0,2.0,96.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
92.0,0,0,0,1,0,0,0,0,0,0,0,0,2,1.0,1.0,1.0,10.0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92.0,0,0,0,0,0,0,0,1,0,0,0,0,2,1.0,1.0,1.0,10.0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92.0,0,0,0,0,0,0,0,0,0,0,0,1,2,1.0,1.0,1.0,10.0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89.0,0,1,0,0,0,0,0,0,0,0,0,0,2,1.0,1.0,1.0,10.0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71.0,1,0,0,0,0,0,0,0,0,0,0,0,2,1.0,1.0,1.0,10.0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92.0,0,0,0,0,0,0,1,0,0,0,0,0,2,1.0,1.0,1.0,10.0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93.0,0,0,0,0,0,1,0,0,0,0,0,0,2,1.0,1.0,1.0,10.0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92.0,0,0,1,0,0,0,0,0,0,0,0,0,2,1.0,1.0,1.0,10.0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92.0,0,0,0,0,1,0,0,0,0,0,0,0,2,1.0,1.0,1.0,10.0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92.0,0,0,0,0,0,0,0,0,0,0,1,0,2,1.0,1.0,1.0,10.0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92.0,0,0,0,0,0,0,0,0,0,1,0,0,2,1.0,1.0,1.0,10.0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92.0,0,0,0,0,0,0,0,0,1,0,0,0,2,1.0,1.0,1.0,10.0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82.0,0,0,0,1,0,0,0,0,0,0,0,0,2,1.0,1.0,1.0,10.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90.0,0,0,0,0,0,0,0,1,0,0,0,0,2,1.0,1.0,1.0,10.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82.0,0,0,0,0,0,0,0,0,0,0,0,1,2,1.0,1.0,1.0,10.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81.0,0,1,0,0,0,0,0,0,0,0,0,0,2,1.0,1.0,1.0,10.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66.0,1,0,0,0,0,0,0,0,0,0,0,0,2,1.0,1.0,1.0,10.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92.0,0,0,0,0,0,0,1,0,0,0,0,0,2,1.0,1.0,1.0,10.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92.0,0,0,0,0,0,1,0,0,0,0,0,0,2,1.0,1.0,1.0,10.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85.0,0,0,1,0,0,0,0,0,0,0,0,0,2,1.0,1.0,1.0,10.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83.0,0,0,0,0,1,0,0,0,0,0,0,0,2,1.0,1.0,1.0,10.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82.0,0,0,0,0,0,0,0,0,0,0,1,0,2,1.0,1.0,1.0,10.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82.0,0,0,0,0,0,0,0,0,0,1,0,0,2,1.0,1.0,1.0,10.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82.0,0,0,0,0,0,0,0,0,1,0,0,0,2,1.0,1.0,1.0,10.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119.0,0,0,0,1,0,0,0,0,0,0,0,0,5,1.0,1.0,3.0,80.0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119.0,0,0,0,0,0,0,0,1,0,0,0,0,5,1.0,1.0,3.0,80.0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119.0,0,0,0,0,0,0,0,0,0,0,0,1,5,1.0,1.0,3.0,80.0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99.0,0,1,0,0,0,0,0,0,0,0,0,0,5,1.0,1.0,3.0,80.0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100.0,1,0,0,0,0,0,0,0,0,0,0,0,5,1.0,1.0,3.0,80.0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119.0,0,0,0,0,0,0,1,0,0,0,0,0,5,1.0,1.0,3.0,80.0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119.0,0,0,0,0,0,1,0,0,0,0,0,0,5,1.0,1.0,3.0,80.0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115.0,0,0,1,0,0,0,0,0,0,0,0,0,5,1.0,1.0,3.0,80.0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119.0,0,0,0,0,1,0,0,0,0,0,0,0,5,1.0,1.0,3.0,80.0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119.0,0,0,0,0,0,0,0,0,0,0,1,0,5,1.0,1.0,3.0,80.0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119.0,0,0,0,0,0,0,0,0,0,1,0,0,5,1.0,1.0,3.0,80.0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119.0,0,0,0,0,0,0,0,0,1,0,0,0,5,1.0,1.0,3.0,80.0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176.0,0,0,0,1,0,0,0,0,0,0,0,0,4,1.0,1.0,2.0,96.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
211.0,0,0,0,0,0,0,0,1,0,0,0,0,4,1.0,1.0,2.0,96.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
211.0,0,0,0,0,0,0,0,0,0,0,0,1,4,1.0,1.0,2.0,96.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
135.0,0,1,0,0,0,0,0,0,0,0,0,0,4,1.0,1.0,2.0,96.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
141.0,1,0,0,0,0,0,0,0,0,0,0,0,4,1.0,1.0,2.0,96.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
211.0,0,0,0,0,0,0,1,0,0,0,0,0,4,1.0,1.0,2.0,96.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
