host_is_superhost,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,cancellation_policy,host_experience
0,7,Entire home/apt,1,1.0,1.0,1.0,Real Bed,110.0,0.0,0.0,1,0,1,1125,1,flexible,2.0
0,9,Private room,3,1.5,1.0,2.0,Real Bed,99.0,0.0,15.0,1,1,1,1125,11,moderate,2.0
0,9,Entire home/apt,8,2.0,4.0,4.0,Real Bed,450.0,0.0,0.0,1,0,4,1125,1,flexible,1.0
0,9,Private room,2,1.0,1.0,1.0,Real Bed,75.0,0.0,0.0,1,0,1,1125,0,flexible,1.0
0,9,Entire home/apt,5,2.5,3.0,3.0,Real Bed,600.0,500.0,150.0,1,0,3,1125,1,moderate,1.0
0,9,Entire home/apt,8,2.5,3.0,5.0,Real Bed,450.0,500.0,200.0,6,1,4,1125,8,strict,2.0
0,9,Entire home/apt,5,1.0,2.0,3.0,Real Bed,150.0,250.0,35.0,1,0,1,1125,0,flexible,6.0
1,5,Private room,2,1.0,1.0,1.0,Real Bed,45.0,150.0,25.0,1,0,2,7,80,strict,4.0
0,0,Entire home/apt,6,2.0,3.0,3.0,Real Bed,300.0,500.0,125.0,1,0,2,1125,6,moderate,4.0
0,0,Entire home/apt,3,1.0,1.0,2.0,Real Bed,80.0,0.0,65.0,3,1,2,1125,4,strict,3.0
1,0,Entire home/apt,4,1.0,1.0,1.0,Real Bed,175.0,0.0,40.0,1,0,2,365,38,strict,3.0
0,9,Entire home/apt,6,1.5,3.0,3.0,Real Bed,325.0,500.0,100.0,6,1,2,1125,68,strict,3.0
0,9,Entire home/apt,4,3.0,3.0,2.0,Real Bed,175.0,200.0,80.0,1,0,4,120,8,flexible,1.0
0,9,Entire home/apt,7,3.5,4.0,3.0,Real Bed,222.0,500.0,250.0,7,1,2,1125,5,strict,1.0
0,0,Entire home/apt,4,1.0,2.0,2.0,Real Bed,159.0,250.0,99.0,1,0,1,1125,62,strict,3.0
0,0,Entire home/apt,4,1.0,1.0,2.0,Real Bed,125.0,0.0,50.0,2,1,2,365,19,moderate,1.0
0,9,Entire home/apt,8,3.0,3.0,3.0,Real Bed,348.0,750.0,150.0,6,1,3,1125,5,strict,3.0
0,9,Private room,1,1.0,1.0,1.0,Futon,45.0,0.0,0.0,1,0,1,1125,7,flexible,2.0
0,0,Entire home/apt,4,1.0,1.0,2.0,Real Bed,150.0,0.0,50.0,2,1,2,365,2,moderate,1.0
1,0,Entire home/apt,2,1.0,0.0,1.0,Real Bed,80.0,0.0,20.0,1,0,3,1125,11,flexible,4.0
0,0,Entire home/apt,4,1.0,1.0,2.0,Real Bed,110.0,100.0,40.0,2,1,2,1125,71,moderate,2.0
0,9,Entire home/apt,3,1.0,1.0,2.0,Real Bed,148.0,0.0,100.0,2,1,3,365,9,strict,3.0
0,9,Entire home/apt,4,1.5,2.0,2.0,Real Bed,350.0,500.0,100.0,4,0,2,30,41,moderate,4.0
1,0,Entire home/apt,3,1.5,1.0,2.0,Real Bed,150.0,0.0,50.0,1,0,2,1125,18,moderate,2.0
0,9,Private room,5,1.0,1.0,1.0,Real Bed,150.0,0.0,0.0,1,0,1,1125,9,flexible,1.0
0,0,Entire home/apt,2,1.0,0.0,1.0,Futon,100.0,0.0,0.0,1,0,1,1125,20,flexible,3.0
0,3,Entire home/apt,10,3.0,4.0,4.0,Real Bed,349.0,0.0,200.0,1,0,1,1125,0,strict,2.0
0,3,Entire home/apt,2,1.0,0.0,1.0,Real Bed,110.0,0.0,50.0,1,0,2,1125,3,moderate,4.0
0,9,Entire home/apt,4,1.0,1.0,2.0,Real Bed,160.0,100.0,55.0,2,1,2,1125,1,moderate,1.0
0,9,Entire home/apt,4,1.0,1.0,3.0,Real Bed,130.0,140.0,75.0,2,1,3,1125,26,moderate,3.0
0,9,Entire home/apt,2,1.0,0.0,1.0,Real Bed,99.0,0.0,50.0,2,1,1,1125,2,moderate,1.0
0,0,Entire home/apt,2,1.0,0.0,1.0,Real Bed,100.0,0.0,40.0,1,0,1,1125,0,flexible,1.0
0,0,Entire home/apt,3,1.0,1.0,1.0,Futon,137.0,0.0,20.0,2,1,2,1125,3,moderate,4.0
0,0,Private room,3,1.0,1.0,1.0,Real Bed,20.0,0.0,0.0,1,0,1,1125,0,flexible,0.0
0,13,Entire home/apt,2,1.5,1.0,1.0,Real Bed,150.0,500.0,50.0,2,1,4,1125,0,strict,5.0
0,0,Entire home/apt,2,1.0,1.0,1.0,Real Bed,145.0,100.0,30.0,2,1,2,1125,44,moderate,2.0
0,13,Private room,2,1.0,1.0,1.0,Futon,80.0,0.0,0.0,1,0,1,1125,10,flexible,2.0
1,9,Entire home/apt,2,1.0,0.0,1.0,Real Bed,95.0,200.0,60.0,1,0,3,1125,77,moderate,2.0
0,9,Entire home/apt,4,2.5,3.0,3.0,Real Bed,400.0,750.0,120.0,4,1,2,1125,0,moderate,2.0
0,9,Private room,2,2.0,1.0,1.0,Real Bed,85.0,0.0,0.0,1,0,2,1125,2,moderate,5.0
0,0,Private room,2,1.0,1.0,1.0,Futon,70.0,0.0,20.0,1,0,1,1125,1,flexible,4.0
1,0,Entire home/apt,2,1.0,0.0,1.0,Real Bed,90.0,150.0,25.0,1,0,2,14,109,strict,4.0
0,9,Private room,2,1.0,1.0,1.0,Real Bed,80.0,0.0,0.0,2,1,1,6,52,flexible,1.0
1,5,Private room,2,1.0,1.0,2.0,Real Bed,60.0,150.0,25.0,2,0,2,7,191,strict,4.0
0,9,Entire home/apt,4,1.0,2.0,2.0,Real Bed,175.0,250.0,78.0,4,1,1,15,0,moderate,1.0
0,9,Entire home/apt,6,2.5,3.0,4.0,Real Bed,170.0,250.0,100.0,6,1,4,1125,9,strict,4.0
0,0,Entire home/apt,2,1.0,1.0,1.0,Real Bed,85.0,0.0,50.0,2,1,3,1125,65,moderate,2.0
1,9,Entire home/apt,12,3.5,5.0,7.0,Real Bed,465.0,1000.0,250.0,1,0,3,1125,5,strict,1.0
0,0,Entire home/apt,2,1.0,1.0,1.0,Real Bed,175.0,250.0,50.0,1,0,1,1125,5,flexible,3.0
0,7,Private room,2,1.0,1.0,1.0,Real Bed,50.0,0.0,0.0,0,0,1,1125,0,flexible,1.0
0,0,Private room,2,1.0,1.0,1.0,Real Bed,60.0,0.0,0.0,1,0,1,1125,0,flexible,1.0
0,9,Private room,2,1.0,1.0,1.0,Pull-out Sofa,59.0,0.0,12.0,1,0,1,1125,16,flexible,4.0
0,0,Private room,4,1.0,1.0,4.0,Real Bed,47.0,200.0,15.0,2,1,1,1125,23,strict,5.0
0,9,Entire home/apt,4,1.0,2.0,2.0,Real Bed,145.0,100.0,45.0,4,1,2,14,45,moderate,3.0
0,9,Private room,2,1.0,1.0,1.0,Futon,70.0,0.0,0.0,1,0,1,1125,75,flexible,5.0
0,9,Private room,2,1.0,1.0,1.0,Real Bed,55.0,100.0,25.0,1,1,2,1125,86,moderate,2.0
1,9,Private room,4,1.0,1.0,2.0,Real Bed,95.0,0.0,30.0,2,1,2,90,151,moderate,4.0
0,9,Private room,2,1.0,1.0,1.0,Real Bed,125.0,0.0,0.0,1,0,1,1125,6,flexible,2.0
0,9,Private room,2,1.0,1.0,1.0,Real Bed,65.0,0.0,45.0,1,0,1,26,16,moderate,2.0
0,9,Private room,1,1.0,1.0,1.0,Pull-out Sofa,25.0,0.0,0.0,1,0,1,1125,0,flexible,2.0
0,9,Entire home/apt,4,1.0,0.0,2.0,Real Bed,40.0,500.0,50.0,2,1,5,1125,0,strict,5.0
0,9,Entire home/apt,6,1.0,3.0,4.0,Real Bed,149.0,0.0,0.0,4,1,1,1125,165,moderate,4.0
1,0,Entire home/apt,2,1.5,1.0,1.0,Real Bed,125.0,250.0,75.0,0,0,3,1125,48,strict,3.0
0,9,Private room,2,0.5,1.0,1.0,Real Bed,55.0,0.0,0.0,1,0,1,1125,0,flexible,1.0
1,0,Entire home/apt,4,1.0,1.0,3.0,Real Bed,129.0,250.0,75.0,1,0,5,999,2,strict,7.0
0,0,Entire home/apt,2,1.0,1.0,1.0,Real Bed,100.0,0.0,0.0,1,0,1,1125,0,strict,4.0
1,0,Entire home/apt,4,2.0,2.0,2.0,Real Bed,150.0,0.0,0.0,1,0,2,1125,27,moderate,3.0
0,13,Private room,1,1.0,1.0,1.0,Real Bed,50.0,500.0,10.0,1,1,1,1125,0,flexible,2.0
0,0,Entire home/apt,6,1.0,2.0,3.0,Real Bed,99.0,200.0,0.0,4,0,5,15,0,moderate,4.0
0,0,Entire home/apt,2,1.5,1.0,1.0,Real Bed,150.0,0.0,60.0,2,1,2,1125,9,strict,4.0
0,3,Entire home/apt,4,1.0,1.0,3.0,Real Bed,105.0,0.0,0.0,1,0,2,1125,0,flexible,1.0
0,9,Entire home/apt,7,4.0,3.0,3.0,Real Bed,218.0,750.0,300.0,4,1,14,60,0,strict,4.0
0,9,Entire home/apt,5,1.5,2.0,2.0,Real Bed,80.0,200.0,75.0,1,0,1,7,88,moderate,2.0
0,0,Entire home/apt,2,1.0,1.0,1.0,Real Bed,126.0,300.0,95.0,2,1,2,1125,10,moderate,1.0
0,0,Entire home/apt,4,1.0,1.0,2.0,Real Bed,115.0,500.0,50.0,2,1,1,1125,5,strict,2.0
0,0,Entire home/apt,4,2.0,2.0,2.0,Real Bed,225.0,0.0,75.0,1,0,2,10,10,flexible,6.0
1,4,Entire home/apt,2,1.0,1.0,1.0,Futon,89.0,0.0,10.0,2,0,2,14,244,moderate,6.0
0,9,Entire home/apt,8,2.5,3.0,5.0,Real Bed,225.0,0.0,264.0,1,0,3,1125,1,strict,5.0
0,9,Entire home/apt,1,1.0,0.0,1.0,Real Bed,50.0,0.0,0.0,1,0,1,1125,0,flexible,2.0
1,0,Entire home/apt,4,1.0,1.0,2.0,Real Bed,134.0,200.0,100.0,1,0,3,45,40,strict,1.0
0,0,Entire home/apt,2,1.0,1.0,1.0,Real Bed,75.0,0.0,100.0,1,0,3,1125,2,moderate,2.0
0,9,Private room,2,1.0,1.0,1.0,Real Bed,65.0,0.0,0.0,2,1,1,1125,46,moderate,1.0
0,9,Entire home/apt,6,2.5,3.0,4.0,Real Bed,375.0,300.0,100.0,1,0,1,1125,23,moderate,1.0
1,9,Entire home/apt,3,1.0,1.0,2.0,Real Bed,97.0,100.0,45.0,2,1,2,1125,44,strict,3.0
1,7,Entire home/apt,2,1.0,1.0,1.0,Real Bed,145.0,150.0,45.0,2,1,2,35,14,moderate,2.0
1,0,Entire home/apt,5,1.0,2.0,4.0,Real Bed,129.0,250.0,75.0,1,0,5,1125,12,strict,7.0
0,9,Entire home/apt,6,1.5,3.0,4.0,Real Bed,197.0,0.0,180.0,1,0,4,29,1,strict,2.0
1,0,Entire home/apt,2,1.0,1.0,1.0,Real Bed,120.0,350.0,60.0,2,1,2,28,25,moderate,1.0
1,0,Entire home/apt,4,1.0,1.0,1.0,Real Bed,200.0,150.0,0.0,4,1,2,90,35,flexible,2.0
0,0,Entire home/apt,5,2.0,2.0,2.0,Real Bed,135.0,100.0,50.0,4,1,1,1125,5,moderate,1.0
1,9,Private room,2,1.0,1.0,1.0,Futon,70.0,250.0,0.0,2,0,1,1125,31,moderate,3.0
0,0,Entire home/apt,2,1.0,1.0,2.0,Real Bed,150.0,250.0,30.0,1,0,2,1125,7,flexible,1.0
0,0,Entire home/apt,3,1.0,1.0,1.0,Real Bed,200.0,0.0,50.0,1,0,2,1125,4,moderate,2.0
0,13,Private room,2,1.0,1.0,1.0,Real Bed,60.0,0.0,55.0,1,0,1,26,16,moderate,2.0
0,9,Entire home/apt,5,3.0,3.0,5.0,Real Bed,180.0,0.0,150.0,1,0,5,1125,1,strict,2.0
0,0,Private room,3,1.0,1.0,1.0,Real Bed,69.0,0.0,0.0,2,1,1,1125,8,moderate,1.0
0,0,Entire home/apt,3,1.0,0.0,1.0,Real Bed,90.0,0.0,25.0,2,1,1,1125,1,flexible,5.0
0,0,Entire home/apt,2,1.0,1.0,1.0,Real Bed,80.0,0.0,0.0,2,0,1,1125,5,flexible,1.0
0,13,Private room,2,1.5,1.0,1.0,Real Bed,65.0,0.0,25.0,1,0,1,1125,0,flexible,1.0
1,9,Entire home/apt,5,1.5,2.0,2.0,Real Bed,150.0,100.0,90.0,2,1,4,1125,26,moderate,4.0
0,9,Entire home/apt,6,1.5,2.0,3.0,Real Bed,195.0,0.0,0.0,4,1,1,1125,113,moderate,4.0
0,0,Entire home/apt,4,1.0,1.0,1.0,Real Bed,149.0,0.0,0.0,1,0,1,7,0,flexible,2.0
1,9,Entire home/apt,5,3.0,2.0,2.0,Real Bed,224.0,600.0,120.0,1,0,3,1125,15,strict,2.0
0,9,Entire home/apt,3,1.0,2.0,2.0,Real Bed,115.0,200.0,40.0,2,1,3,1125,44,strict,1.0
0,9,Private room,2,1.0,1.0,1.0,Real Bed,55.0,0.0,0.0,1,0,1,1125,7,flexible,1.0
1,9,Entire home/apt,8,2.5,4.0,5.0,Real Bed,338.0,500.0,200.0,6,0,3,1125,13,strict,1.0
1,9,Entire home/apt,2,1.0,1.0,1.0,Futon,79.0,0.0,10.0,1,0,2,14,44,moderate,6.0
1,9,Private room,2,1.0,1.0,1.0,Real Bed,80.0,100.0,15.0,1,0,1,31,56,moderate,2.0
0,13,Entire home/apt,2,1.0,0.0,1.0,Real Bed,85.0,200.0,35.0,1,0,2,1125,11,moderate,1.0
1,9,Entire home/apt,2,1.0,1.0,1.0,Futon,80.0,0.0,25.0,2,1,2,100,39,moderate,2.0
1,10,Private room,3,1.0,1.0,1.0,Real Bed,49.0,0.0,7.0,1,0,1,1125,10,moderate,2.0
0,9,Entire home/apt,4,2.5,3.0,2.0,Real Bed,100.0,300.0,85.0,1,0,1,1125,6,moderate,4.0
0,0,Entire home/apt,2,1.0,1.0,1.0,Real Bed,79.0,0.0,0.0,1,0,1,1125,4,flexible,2.0
1,0,Entire home/apt,2,1.0,0.0,1.0,Real Bed,75.0,250.0,50.0,2,1,2,14,79,moderate,3.0
1,9,Private room,2,1.0,1.0,1.0,Real Bed,57.0,100.0,15.0,0,0,2,28,50,moderate,2.0
0,0,Entire home/apt,4,1.0,1.0,2.0,Real Bed,99.0,0.0,45.0,2,1,2,1125,28,moderate,1.0
0,0,Private room,1,1.0,1.0,1.0,Futon,55.0,0.0,0.0,1,0,2,10,20,moderate,6.0
0,0,Entire home/apt,2,1.0,1.0,1.0,Real Bed,96.0,0.0,0.0,2,1,2,14,57,strict,4.0
0,9,Entire home/apt,4,1.0,1.0,1.0,Real Bed,99.0,100.0,30.0,2,1,1,1125,38,moderate,6.0
