accommodates,bathrooms,bedrooms,beds,price,security_deposit,cleaning_fee,guests_included,minimum_nights,maximum_nights,number_of_reviews,host_experience
4,1.0,1.0,1.0,85.0,0.0,0.0,2,1,365,207,5.0
4,1.0,1.0,1.0,150.0,100.0,40.0,1,2,90,43,3.0
11,4.5,5.0,7.0,975.0,1000.0,300.0,10,4,30,20,2.0
3,1.0,0.0,2.0,100.0,0.0,0.0,1,1,1125,0,3.0
6,2.0,3.0,3.0,450.0,700.0,125.0,6,1,1125,38,5.0
2,1.0,1.0,1.0,120.0,0.0,40.0,1,1,6,17,6.0
2,1.0,1.0,1.0,80.0,150.0,0.0,1,3,14,58,4.0
2,1.0,1.0,1.0,60.0,150.0,25.0,1,2,7,173,4.0
2,1.0,1.0,1.0,90.0,0.0,0.0,1,3,1125,8,4.0
4,1.0,1.0,1.0,150.0,100.0,40.0,1,2,365,32,3.0
2,1.0,1.0,1.0,95.0,0.0,15.0,2,3,7,181,6.0
2,1.0,1.0,1.0,99.0,500.0,150.0,1,3,1125,8,3.0
4,1.0,2.0,3.0,245.0,300.0,95.0,1,3,14,13,2.0
5,1.0,2.0,3.0,165.0,400.0,85.0,4,2,1125,3,1.0
16,3.5,6.0,15.0,461.0,1500.0,300.0,8,3,29,18,2.0
5,1.0,2.0,2.0,109.0,0.0,89.0,1,3,15,1,4.0
2,1.0,1.0,1.0,66.0,100.0,35.0,1,1,10,84,3.0
2,1.0,1.0,1.0,99.0,100.0,15.0,1,2,14,45,2.0
2,2.0,1.0,1.0,200.0,0.0,0.0,1,1,1125,0,3.0
10,3.5,5.0,5.0,700.0,500.0,250.0,1,3,30,5,1.0
1,1.0,1.0,1.0,110.0,0.0,0.0,1,1,1125,1,2.0
3,1.5,1.0,2.0,99.0,0.0,15.0,1,1,1125,11,2.0
8,2.0,4.0,4.0,450.0,0.0,0.0,1,4,1125,1,1.0
2,1.0,1.0,1.0,75.0,0.0,0.0,1,1,1125,0,1.0
5,2.5,3.0,3.0,600.0,500.0,150.0,1,3,1125,1,1.0
8,2.5,3.0,5.0,450.0,500.0,200.0,6,4,1125,8,2.0
5,1.0,2.0,3.0,150.0,250.0,35.0,1,1,1125,0,6.0
2,1.0,1.0,1.0,45.0,150.0,25.0,1,2,7,80,4.0
6,2.0,3.0,3.0,300.0,500.0,125.0,1,2,1125,6,4.0
3,1.0,1.0,2.0,80.0,0.0,65.0,3,2,1125,4,3.0
4,1.0,1.0,1.0,175.0,0.0,40.0,1,2,365,38,3.0
6,1.5,3.0,3.0,325.0,500.0,100.0,6,2,1125,68,3.0
4,3.0,3.0,2.0,175.0,200.0,80.0,1,4,120,8,1.0
7,3.5,4.0,3.0,222.0,500.0,250.0,7,2,1125,5,1.0
4,1.0,2.0,2.0,159.0,250.0,99.0,1,1,1125,62,3.0
4,1.0,1.0,2.0,125.0,0.0,50.0,2,2,365,19,1.0
8,3.0,3.0,3.0,348.0,750.0,150.0,6,3,1125,5,3.0
1,1.0,1.0,1.0,45.0,0.0,0.0,1,1,1125,7,2.0
4,1.0,1.0,2.0,150.0,0.0,50.0,2,2,365,2,1.0
2,1.0,0.0,1.0,80.0,0.0,20.0,1,3,1125,11,4.0
4,1.0,1.0,2.0,110.0,100.0,40.0,2,2,1125,71,2.0
3,1.0,1.0,2.0,148.0,0.0,100.0,2,3,365,9,3.0
4,1.5,2.0,2.0,350.0,500.0,100.0,4,2,30,41,4.0
3,1.5,1.0,2.0,150.0,0.0,50.0,1,2,1125,18,2.0
5,1.0,1.0,1.0,150.0,0.0,0.0,1,1,1125,9,1.0
2,1.0,0.0,1.0,100.0,0.0,0.0,1,1,1125,20,3.0
10,3.0,4.0,4.0,349.0,0.0,200.0,1,1,1125,0,2.0
2,1.0,0.0,1.0,110.0,0.0,50.0,1,2,1125,3,4.0
4,1.0,1.0,2.0,160.0,100.0,55.0,2,2,1125,1,1.0
4,1.0,1.0,3.0,130.0,140.0,75.0,2,3,1125,26,3.0
2,1.0,0.0,1.0,99.0,0.0,50.0,2,1,1125,2,1.0
2,1.0,0.0,1.0,100.0,0.0,40.0,1,1,1125,0,1.0
3,1.0,1.0,1.0,137.0,0.0,20.0,2,2,1125,3,4.0
3,1.0,1.0,1.0,20.0,0.0,0.0,1,1,1125,0,0.0
2,1.5,1.0,1.0,150.0,500.0,50.0,2,4,1125,0,5.0
2,1.0,1.0,1.0,145.0,100.0,30.0,2,2,1125,44,2.0
2,1.0,1.0,1.0,80.0,0.0,0.0,1,1,1125,10,2.0
2,1.0,0.0,1.0,95.0,200.0,60.0,1,3,1125,77,2.0
4,2.5,3.0,3.0,400.0,750.0,120.0,4,2,1125,0,2.0
2,2.0,1.0,1.0,85.0,0.0,0.0,1,2,1125,2,5.0
2,1.0,1.0,1.0,70.0,0.0,20.0,1,1,1125,1,4.0
2,1.0,0.0,1.0,90.0,150.0,25.0,1,2,14,109,4.0
2,1.0,1.0,1.0,80.0,0.0,0.0,2,1,6,52,1.0
2,1.0,1.0,2.0,60.0,150.0,25.0,2,2,7,191,4.0
4,1.0,2.0,2.0,175.0,250.0,78.0,4,1,15,0,1.0
6,2.5,3.0,4.0,170.0,250.0,100.0,6,4,1125,9,4.0
2,1.0,1.0,1.0,85.0,0.0,50.0,2,3,1125,65,2.0
12,3.5,5.0,7.0,465.0,1000.0,250.0,1,3,1125,5,1.0
2,1.0,1.0,1.0,175.0,250.0,50.0,1,1,1125,5,3.0
2,1.0,1.0,1.0,50.0,0.0,0.0,0,1,1125,0,1.0
2,1.0,1.0,1.0,60.0,0.0,0.0,1,1,1125,0,1.0
2,1.0,1.0,1.0,59.0,0.0,12.0,1,1,1125,16,4.0
4,1.0,1.0,4.0,47.0,200.0,15.0,2,1,1125,23,5.0
4,1.0,2.0,2.0,145.0,100.0,45.0,4,2,14,45,3.0
2,1.0,1.0,1.0,70.0,0.0,0.0,1,1,1125,75,5.0
2,1.0,1.0,1.0,55.0,100.0,25.0,1,2,1125,86,2.0
4,1.0,1.0,2.0,95.0,0.0,30.0,2,2,90,151,4.0
2,1.0,1.0,1.0,125.0,0.0,0.0,1,1,1125,6,2.0
2,1.0,1.0,1.0,65.0,0.0,45.0,1,1,26,16,2.0
1,1.0,1.0,1.0,25.0,0.0,0.0,1,1,1125,0,2.0
4,1.0,0.0,2.0,40.0,500.0,50.0,2,5,1125,0,5.0
6,1.0,3.0,4.0,149.0,0.0,0.0,4,1,1125,165,4.0
2,1.5,1.0,1.0,125.0,250.0,75.0,0,3,1125,48,3.0
2,0.5,1.0,1.0,55.0,0.0,0.0,1,1,1125,0,1.0
4,1.0,1.0,3.0,129.0,250.0,75.0,1,5,999,2,7.0
2,1.0,1.0,1.0,100.0,0.0,0.0,1,1,1125,0,4.0
4,2.0,2.0,2.0,150.0,0.0,0.0,1,2,1125,27,3.0
1,1.0,1.0,1.0,50.0,500.0,10.0,1,1,1125,0,2.0
6,1.0,2.0,3.0,99.0,200.0,0.0,4,5,15,0,4.0
2,1.5,1.0,1.0,150.0,0.0,60.0,2,2,1125,9,4.0
4,1.0,1.0,3.0,105.0,0.0,0.0,1,2,1125,0,1.0
7,4.0,3.0,3.0,218.0,750.0,300.0,4,14,60,0,4.0
5,1.5,2.0,2.0,80.0,200.0,75.0,1,1,7,88,2.0
2,1.0,1.0,1.0,126.0,300.0,95.0,2,2,1125,10,1.0
4,1.0,1.0,2.0,115.0,500.0,50.0,2,1,1125,5,2.0
4,2.0,2.0,2.0,225.0,0.0,75.0,1,2,10,10,6.0
2,1.0,1.0,1.0,89.0,0.0,10.0,2,2,14,244,6.0
8,2.5,3.0,5.0,225.0,0.0,264.0,1,3,1125,1,5.0
1,1.0,0.0,1.0,50.0,0.0,0.0,1,1,1125,0,2.0
4,1.0,1.0,2.0,134.0,200.0,100.0,1,3,45,40,1.0
2,1.0,1.0,1.0,75.0,0.0,100.0,1,3,1125,2,2.0
2,1.0,1.0,1.0,65.0,0.0,0.0,2,1,1125,46,1.0
6,2.5,3.0,4.0,375.0,300.0,100.0,1,1,1125,23,1.0
3,1.0,1.0,2.0,97.0,100.0,45.0,2,2,1125,44,3.0
2,1.0,1.0,1.0,145.0,150.0,45.0,2,2,35,14,2.0
5,1.0,2.0,4.0,129.0,250.0,75.0,1,5,1125,12,7.0
6,1.5,3.0,4.0,197.0,0.0,180.0,1,4,29,1,2.0
2,1.0,1.0,1.0,120.0,350.0,60.0,2,2,28,25,1.0
4,1.0,1.0,1.0,200.0,150.0,0.0,4,2,90,35,2.0
5,2.0,2.0,2.0,135.0,100.0,50.0,4,1,1125,5,1.0
2,1.0,1.0,1.0,70.0,250.0,0.0,2,1,1125,31,3.0
2,1.0,1.0,2.0,150.0,250.0,30.0,1,2,1125,7,1.0
3,1.0,1.0,1.0,200.0,0.0,50.0,1,2,1125,4,2.0
2,1.0,1.0,1.0,60.0,0.0,55.0,1,1,26,16,2.0
5,3.0,3.0,5.0,180.0,0.0,150.0,1,5,1125,1,2.0
3,1.0,1.0,1.0,69.0,0.0,0.0,2,1,1125,8,1.0
3,1.0,0.0,1.0,90.0,0.0,25.0,2,1,1125,1,5.0
2,1.0,1.0,1.0,80.0,0.0,0.0,2,1,1125,5,1.0
2,1.5,1.0,1.0,65.0,0.0,25.0,1,1,1125,0,1.0
5,1.5,2.0,2.0,150.0,100.0,90.0,2,4,1125,26,4.0
6,1.5,2.0,3.0,195.0,0.0,0.0,4,1,1125,113,4.0
4,1.0,1.0,1.0,149.0,0.0,0.0,1,1,7,0,2.0
5,3.0,2.0,2.0,224.0,600.0,120.0,1,3,1125,15,2.0
3,1.0,2.0,2.0,115.0,200.0,40.0,2,3,1125,44,1.0
2,1.0,1.0,1.0,55.0,0.0,0.0,1,1,1125,7,1.0
8,2.5,4.0,5.0,338.0,500.0,200.0,6,3,1125,13,1.0
2,1.0,1.0,1.0,79.0,0.0,10.0,1,2,14,44,6.0
2,1.0,1.0,1.0,80.0,100.0,15.0,1,1,31,56,2.0
2,1.0,0.0,1.0,85.0,200.0,35.0,1,2,1125,11,1.0
2,1.0,1.0,1.0,80.0,0.0,25.0,2,2,100,39,2.0
3,1.0,1.0,1.0,49.0,0.0,7.0,1,1,1125,10,2.0
4,2.5,3.0,2.0,100.0,300.0,85.0,1,1,1125,6,4.0
2,1.0,1.0,1.0,79.0,0.0,0.0,1,1,1125,4,2.0
2,1.0,0.0,1.0,75.0,250.0,50.0,2,2,14,79,3.0
2,1.0,1.0,1.0,57.0,100.0,15.0,0,2,28,50,2.0
4,1.0,1.0,2.0,99.0,0.0,45.0,2,2,1125,28,1.0
1,1.0,1.0,1.0,55.0,0.0,0.0,1,2,10,20,6.0
2,1.0,1.0,1.0,96.0,0.0,0.0,2,2,14,57,4.0
4,1.0,1.0,1.0,99.0,100.0,30.0,2,1,1125,38,6.0
4,1.0,2.0,2.0,79.0,0.0,35.0,1,1,1125,71,1.0
2,1.0,1.0,1.0,115.0,200.0,85.0,2,3,365,17,4.0
10,2.5,3.0,5.0,350.0,500.0,125.0,6,1,1125,13,2.0
6,3.0,3.0,3.0,295.0,300.0,131.0,5,2,7,3,2.0
2,1.5,1.0,1.0,70.0,100.0,20.0,0,2,1125,19,3.0
2,1.0,1.0,1.0,53.0,0.0,0.0,1,14,1125,18,3.0
4,1.0,2.0,2.0,110.0,100.0,0.0,1,2,14,12,3.0
4,1.0,2.0,2.0,225.0,0.0,45.0,1,1,1125,4,1.0
2,1.5,1.0,1.0,35.0,100.0,7.0,2,1,1125,7,3.0
2,1.0,1.0,1.0,55.0,0.0,15.0,1,1,1125,23,1.0
2,1.5,1.0,1.0,45.0,100.0,8.0,2,1,1125,2,3.0
2,1.0,1.0,1.0,79.0,0.0,0.0,1,1,7,0,1.0
8,1.0,2.0,6.0,133.0,350.0,50.0,4,2,1125,39,2.0
2,1.0,1.0,1.0,65.0,0.0,5.0,1,2,1125,64,2.0
1,2.0,1.0,1.0,61.0,0.0,15.0,1,1,1125,4,3.0
4,2.0,3.0,3.0,200.0,200.0,60.0,1,4,7,0,1.0
2,1.0,1.0,1.0,70.0,250.0,50.0,1,5,1125,8,2.0
1,1.0,1.0,1.0,52.0,0.0,20.0,1,30,90,14,2.0
2,1.0,1.0,1.0,50.0,0.0,0.0,1,1,1125,1,1.0
8,2.5,4.0,4.0,275.0,500.0,50.0,8,1,1125,0,3.0
2,1.0,1.0,1.0,149.0,100.0,50.0,1,2,1125,85,2.0
8,2.0,2.0,4.0,199.0,150.0,85.0,5,1,1125,0,4.0
2,1.0,1.0,1.0,89.0,0.0,0.0,2,2,14,125,6.0
3,1.0,1.0,2.0,120.0,200.0,55.0,2,2,120,131,5.0
2,1.0,0.0,1.0,85.0,0.0,30.0,1,2,1125,49,5.0
4,1.5,1.0,2.0,80.0,200.0,15.0,4,1,1125,2,3.0
3,1.0,1.0,3.0,89.0,0.0,55.0,2,2,1125,28,1.0
4,1.0,1.0,1.0,99.0,100.0,30.0,2,2,1125,111,6.0
4,1.0,1.0,3.0,110.0,95.0,35.0,2,1,16,49,6.0
6,1.0,2.0,3.0,180.0,250.0,80.0,4,3,1125,28,4.0
4,1.0,2.0,2.0,150.0,0.0,0.0,1,2,1125,0,6.0
4,1.0,1.0,2.0,70.0,0.0,0.0,1,1,1125,3,3.0
2,1.0,1.0,1.0,70.0,0.0,0.0,1,1,1125,0,3.0
1,1.0,1.0,1.0,75.0,100.0,25.0,1,4,1125,9,3.0
4,1.0,2.0,2.0,85.0,100.0,0.0,4,2,45,12,4.0
2,1.0,1.0,1.0,80.0,250.0,25.0,1,1,1125,50,2.0
3,1.0,1.0,1.0,90.0,0.0,20.0,1,3,30,3,1.0
2,1.0,1.0,1.0,80.0,0.0,0.0,1,1,1125,24,3.0
2,1.0,0.0,1.0,75.0,200.0,0.0,1,1,7,81,2.0
3,1.0,2.0,2.0,80.0,0.0,0.0,1,1,1125,0,3.0
2,1.0,1.0,1.0,70.0,100.0,0.0,1,2,14,19,3.0
8,3.5,4.0,4.0,350.0,1000.0,200.0,1,3,1125,6,2.0
4,1.0,0.0,1.0,95.0,0.0,40.0,2,2,30,115,3.0
2,1.0,1.0,1.0,90.0,0.0,0.0,1,1,1125,72,4.0
12,2.0,4.0,5.0,435.0,500.0,200.0,9,2,1125,12,6.0
6,1.5,3.0,3.0,250.0,0.0,185.0,1,2,1125,1,1.0
2,1.0,1.0,1.0,65.0,0.0,20.0,1,14,90,31,2.0
3,1.0,1.0,1.0,95.0,100.0,0.0,2,3,60,125,3.0
3,1.0,1.0,2.0,110.0,0.0,50.0,2,2,10,7,2.0
