accommodates,bathrooms,bedrooms,beds,price,security_deposit,cleaning_fee,guests_included,minimum_nights,maximum_nights,number_of_reviews,host_experience
3,1.0,1.0,2.0,50.0,0.0,10.0,1,1,1125,2,1.0
4,1.0,1.0,1.0,95.0,200.0,20.0,2,1,1125,0,4.0
2,1.0,1.0,1.0,100.0,0.0,30.0,1,4,15,62,3.0
2,1.0,1.0,2.0,89.0,0.0,0.0,1,1,1125,0,2.0
5,1.0,1.0,3.0,116.0,0.0,60.0,4,2,1125,74,2.0
4,1.0,1.0,2.0,150.0,100.0,50.0,2,2,1125,1,1.0
8,2.0,3.0,3.0,275.0,250.0,100.0,8,1,1125,107,3.0
6,2.0,3.0,3.0,180.0,0.0,0.0,1,3,21,10,4.0
2,1.0,1.0,1.0,97.0,0.0,0.0,1,1,1125,155,2.0
5,3.0,2.0,2.0,200.0,200.0,50.0,4,2,1125,0,2.0
2,1.0,1.0,1.0,120.0,0.0,0.0,1,2,28,15,2.0
2,1.0,1.0,1.0,109.0,0.0,0.0,2,2,1125,17,3.0
2,1.0,1.0,1.0,115.0,100.0,20.0,1,2,1125,13,2.0
2,1.0,1.0,1.0,199.0,0.0,80.0,2,2,1125,13,1.0
2,1.0,1.0,1.0,150.0,95.0,0.0,1,1,1125,2,2.0
2,1.0,1.0,1.0,100.0,0.0,0.0,1,1,1125,1,4.0
6,2.5,3.0,4.0,250.0,500.0,100.0,1,2,14,98,4.0
2,1.0,1.0,1.0,39.0,0.0,0.0,1,1,1125,2,1.0
4,1.0,1.0,1.0,69.0,150.0,55.0,3,2,13,28,1.0
4,1.0,1.0,2.0,145.0,350.0,60.0,4,2,1125,17,1.0
5,1.0,1.0,4.0,98.0,300.0,10.0,2,1,99,139,3.0
4,1.0,1.0,1.0,130.0,150.0,25.0,1,2,1125,5,2.0
4,1.0,1.0,2.0,85.0,0.0,0.0,0,1,1125,15,1.0
1,1.0,1.0,1.0,85.0,0.0,15.0,1,2,180,1,4.0
4,1.0,1.0,2.0,73.0,350.0,60.0,1,2,1125,0,1.0
4,1.0,1.0,2.0,150.0,150.0,25.0,4,1,1125,5,6.0
3,1.0,1.0,1.0,85.0,0.0,0.0,1,3,1125,0,1.0
6,2.0,3.0,3.0,190.0,500.0,100.0,1,1,1125,3,1.0
2,1.0,1.0,1.0,68.0,200.0,50.0,1,2,15,17,2.0
2,1.5,1.0,1.0,149.0,100.0,60.0,2,2,1125,31,1.0
10,2.0,2.0,5.0,349.0,0.0,100.0,1,1,1125,34,3.0
2,1.0,1.0,1.0,105.0,750.0,100.0,1,21,1125,1,3.0
4,1.5,1.0,2.0,145.0,500.0,90.0,2,3,1125,10,6.0
2,1.0,1.0,1.0,150.0,200.0,40.0,1,2,6,15,3.0
4,2.0,2.0,1.0,275.0,5000.0,75.0,3,4,1125,1,2.0
4,1.0,2.0,3.0,165.0,0.0,75.0,1,2,1125,7,4.0
5,2.0,3.0,3.0,196.0,300.0,65.0,5,2,1125,1,4.0
4,1.0,1.0,2.0,195.0,100.0,35.0,1,2,14,28,4.0
4,2.0,2.0,2.0,200.0,95.0,0.0,2,2,1125,7,2.0
2,1.5,1.0,1.0,90.0,125.0,30.0,1,2,7,36,6.0
4,1.0,1.0,1.0,100.0,0.0,0.0,1,1,1125,0,2.0
2,1.0,1.0,1.0,125.0,0.0,30.0,1,2,1125,16,2.0
8,1.5,3.0,5.0,250.0,0.0,264.0,1,3,1125,4,5.0
2,1.5,1.0,1.0,130.0,100.0,50.0,1,2,1125,23,2.0
2,1.0,1.0,1.0,209.0,200.0,90.0,2,3,1125,1,2.0
4,1.0,1.0,2.0,110.0,150.0,50.0,2,2,1125,61,3.0
4,1.0,1.0,2.0,90.0,350.0,60.0,0,2,1125,50,1.0
2,1.0,1.0,1.0,90.0,0.0,0.0,1,2,1125,55,3.0
2,1.0,1.0,1.0,130.0,0.0,0.0,2,1,1125,1,4.0
2,1.0,1.0,1.0,175.0,0.0,0.0,1,2,3,1,1.0
8,3.5,3.0,3.0,749.0,1000.0,199.0,4,1,365,12,2.0
4,2.0,2.0,2.0,115.0,0.0,35.0,1,1,5,2,2.0
4,1.5,2.0,2.0,165.0,200.0,55.0,2,2,30,26,2.0
4,1.0,1.0,2.0,109.0,0.0,0.0,1,1,1125,0,1.0
2,1.0,0.0,1.0,80.0,0.0,0.0,1,1,1125,1,1.0
6,2.0,3.0,4.0,285.0,300.0,150.0,1,2,365,53,2.0
2,1.0,1.0,1.0,80.0,0.0,10.0,2,1,1125,13,2.0
1,1.0,1.0,1.0,75.0,0.0,0.0,1,1,1125,0,4.0
2,1.0,1.0,1.0,68.0,100.0,100.0,2,20,44,4,4.0
2,1.0,1.0,1.0,85.0,150.0,60.0,2,2,1125,0,2.0
4,1.0,1.0,2.0,125.0,300.0,55.0,1,2,1125,32,1.0
2,1.0,1.0,1.0,110.0,800.0,100.0,2,2,1125,53,5.0
7,4.0,3.0,3.0,600.0,1500.0,175.0,1,3,1125,8,5.0
4,2.0,2.0,2.0,235.0,0.0,45.0,2,1,1125,2,3.0
4,1.0,1.0,2.0,75.0,0.0,20.0,3,1,1125,7,1.0
2,1.0,1.0,1.0,95.0,0.0,25.0,1,1,1125,1,3.0
4,1.0,1.0,2.0,103.0,350.0,60.0,4,2,1125,49,1.0
2,1.0,1.0,1.0,120.0,350.0,60.0,2,3,1125,59,6.0
2,1.0,1.0,1.0,95.0,200.0,50.0,1,1,1125,0,3.0
5,2.5,2.0,2.0,143.0,0.0,100.0,0,1,1125,0,1.0
2,1.0,1.0,1.0,99.0,0.0,20.0,2,2,7,18,2.0
2,1.0,1.0,1.0,142.0,0.0,40.0,1,3,10,63,3.0
2,1.0,1.0,2.0,150.0,0.0,25.0,2,2,15,16,2.0
6,2.0,3.0,3.0,295.0,1000.0,110.0,1,1,1125,4,5.0
6,3.5,4.0,4.0,335.0,500.0,125.0,1,2,16,3,1.0
2,1.0,1.0,1.0,60.0,0.0,0.0,1,1,1125,0,1.0
6,1.5,3.0,3.0,250.0,500.0,75.0,4,4,14,2,1.0
8,3.0,4.0,5.0,499.0,499.0,200.0,8,2,1125,14,2.0
8,2.0,3.0,4.0,350.0,300.0,155.0,7,2,180,9,2.0
3,1.0,1.0,2.0,156.0,300.0,25.0,2,3,1125,11,3.0
4,1.0,2.0,3.0,200.0,100.0,111.0,4,2,180,11,2.0
4,2.0,2.0,2.0,180.0,100.0,30.0,3,2,9,1,2.0
3,1.0,1.0,1.0,103.0,0.0,0.0,1,1,1125,1,3.0
2,1.0,1.0,1.0,99.0,100.0,0.0,1,1,90,115,2.0
3,1.0,1.0,1.0,94.0,100.0,40.0,1,2,1125,6,1.0
4,1.0,1.0,1.0,160.0,100.0,72.0,0,1,180,10,2.0
4,1.0,1.0,2.0,129.0,300.0,60.0,1,2,1125,21,1.0
4,1.0,1.0,2.0,219.0,0.0,90.0,2,2,1125,5,1.0
4,1.0,1.0,1.0,91.0,150.0,60.0,2,2,1125,5,2.0
4,1.0,1.0,2.0,75.0,350.0,60.0,4,2,1125,53,1.0
2,1.0,0.0,1.0,99.0,0.0,0.0,2,2,1125,106,3.0
5,1.5,3.0,3.0,300.0,500.0,95.0,5,5,14,24,5.0
5,2.0,3.0,3.0,150.0,0.0,100.0,1,1,1125,0,1.0
6,1.0,2.0,3.0,149.0,300.0,105.0,1,2,1125,11,5.0
2,1.0,0.0,1.0,75.0,0.0,0.0,1,1,1125,1,1.0
3,1.0,1.0,2.0,95.0,150.0,40.0,3,1,32,79,3.0
2,1.0,1.0,1.0,100.0,0.0,0.0,1,2,1125,52,2.0
6,2.0,3.0,2.0,250.0,0.0,0.0,1,4,1125,1,5.0
2,2.0,1.0,1.0,105.0,500.0,50.0,1,5,60,13,5.0
2,1.0,1.0,1.0,74.0,100.0,15.0,1,1,1125,20,2.0
2,1.0,1.0,1.0,140.0,250.0,65.0,1,1,1125,30,3.0
4,1.0,1.0,1.0,130.0,350.0,50.0,2,3,1125,14,1.0
2,1.0,1.0,1.0,110.0,100.0,40.0,1,2,20,27,4.0
8,2.0,4.0,4.0,199.0,350.0,160.0,4,2,30,5,3.0
6,1.5,2.0,3.0,209.0,300.0,95.0,1,3,120,5,2.0
4,1.0,0.0,2.0,100.0,100.0,50.0,2,2,28,28,1.0
4,1.0,1.0,1.0,110.0,100.0,30.0,2,2,90,97,5.0
2,1.0,1.0,2.0,104.0,250.0,50.0,2,2,30,15,3.0
4,2.0,2.0,2.0,200.0,0.0,100.0,1,3,14,3,5.0
4,1.0,0.0,2.0,99.0,0.0,35.0,2,2,30,1,2.0
2,1.0,1.0,1.0,90.0,0.0,13.0,1,1,14,43,2.0
6,1.0,2.0,3.0,135.0,200.0,30.0,2,3,1125,71,3.0
6,1.0,2.0,3.0,122.0,100.0,50.0,4,2,1125,9,4.0
2,1.0,0.0,1.0,80.0,0.0,40.0,1,5,10,3,2.0
4,1.0,2.0,2.0,158.0,150.0,65.0,2,2,30,1,3.0
4,1.0,1.0,1.0,90.0,0.0,10.0,2,1,1125,11,2.0
3,1.0,1.0,2.0,100.0,0.0,0.0,1,1,8,1,3.0
4,1.0,1.0,2.0,89.0,300.0,90.0,2,2,1125,4,2.0
4,1.0,2.0,2.0,125.0,100.0,50.0,4,3,1125,12,5.0
2,1.0,1.0,1.0,42.0,0.0,0.0,1,1,1125,1,1.0
2,1.0,1.0,1.0,65.0,200.0,40.0,1,2,90,61,4.0
4,1.0,1.0,2.0,100.0,95.0,40.0,2,2,35,49,3.0
1,1.0,1.0,1.0,40.0,0.0,15.0,1,7,90,0,3.0
6,1.0,3.0,3.0,185.0,200.0,0.0,4,4,1125,0,5.0
2,1.0,1.0,2.0,40.0,0.0,35.0,1,2,1125,4,2.0
2,1.5,1.0,1.0,70.0,0.0,20.0,1,1,1125,4,1.0
1,1.0,1.0,1.0,40.0,350.0,35.0,1,4,1125,0,5.0
2,1.0,1.0,1.0,70.0,0.0,0.0,1,1,1125,0,3.0
4,1.0,1.0,1.0,110.0,0.0,40.0,1,2,30,35,5.0
4,1.0,2.0,3.0,99.0,400.0,100.0,1,2,1125,10,1.0
6,3.0,3.0,3.0,680.0,1000.0,275.0,6,1,1125,6,2.0
6,1.5,3.0,4.0,195.0,0.0,75.0,5,5,90,2,5.0
2,2.0,1.0,1.0,55.0,0.0,25.0,1,1,365,86,3.0
2,1.0,1.0,1.0,90.0,0.0,0.0,1,1,1125,0,1.0
4,1.0,1.0,1.0,119.0,0.0,50.0,2,2,90,17,4.0
5,2.0,3.0,3.0,175.0,100.0,0.0,5,2,14,26,2.0
2,1.0,1.0,1.0,65.0,0.0,0.0,1,1,1125,7,3.0
2,1.0,1.0,1.0,75.0,0.0,0.0,1,1,1125,11,1.0
4,1.0,2.0,2.0,126.0,350.0,65.0,2,2,30,12,3.0
2,1.0,1.0,1.0,70.0,300.0,0.0,1,2,30,63,6.0
2,1.0,1.0,1.0,90.0,100.0,50.0,2,2,365,54,2.0
2,1.0,1.0,1.0,129.0,0.0,60.0,1,1,1125,28,3.0
12,2.0,5.0,6.0,225.0,700.0,0.0,4,3,1125,29,3.0
1,1.0,1.0,1.0,40.0,350.0,35.0,1,4,1125,6,5.0
1,1.0,1.0,1.0,50.0,350.0,28.0,2,5,1125,1,5.0
1,1.0,1.0,1.0,40.0,350.0,35.0,1,4,1125,7,5.0
1,1.0,1.0,1.0,40.0,350.0,35.0,1,5,1125,1,5.0
4,1.0,2.0,2.0,95.0,400.0,0.0,2,2,29,64,3.0
6,1.0,2.0,4.0,175.0,0.0,0.0,1,2,1125,39,2.0
6,1.0,2.0,4.0,160.0,400.0,90.0,2,2,1125,37,3.0
1,1.0,1.0,1.0,40.0,350.0,35.0,1,4,1125,2,5.0
1,1.0,1.0,1.0,40.0,350.0,35.0,1,4,1125,0,5.0
2,1.0,1.0,1.0,120.0,100.0,0.0,1,3,1125,32,3.0
4,1.0,1.0,2.0,66.0,0.0,70.0,2,2,1125,33,3.0
2,1.0,1.0,1.0,55.0,0.0,0.0,1,1,31,207,5.0
7,3.0,4.0,5.0,350.0,350.0,90.0,1,4,1125,0,1.0
2,1.0,0.0,1.0,85.0,0.0,20.0,1,1,1125,37,2.0
6,1.0,2.0,3.0,175.0,0.0,50.0,2,2,1125,45,4.0
2,1.0,1.0,1.0,105.0,0.0,0.0,1,5,1125,1,1.0
3,1.0,1.0,3.0,55.0,0.0,10.0,1,1,30,203,4.0
5,1.0,2.0,2.0,150.0,300.0,75.0,6,1,1125,6,3.0
1,1.0,1.0,1.0,40.0,350.0,35.0,1,4,1125,6,5.0
2,2.0,1.0,2.0,59.0,0.0,15.0,1,2,730,182,6.0
2,1.0,1.0,1.0,80.0,0.0,30.0,1,1,1125,3,4.0
5,1.0,2.0,3.0,200.0,0.0,40.0,4,1,1125,3,5.0
3,1.0,0.0,1.0,60.0,0.0,0.0,1,1,500,14,4.0
2,1.0,1.0,1.0,59.0,0.0,15.0,1,2,1125,86,3.0
8,3.0,4.0,5.0,575.0,500.0,175.0,0,4,31,5,1.0
1,1.0,1.0,1.0,40.0,350.0,35.0,1,4,1125,4,5.0
2,1.0,1.0,1.0,139.0,0.0,25.0,1,2,10,21,3.0
