id,zipcode,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,cleaning_fee,guests_included,extra_people,minimum_nights
8537192,98107,House,Private room,2,0.5,1.0,1.0,55.0,0.0,1,0,1
5919096,98107,Apartment,Entire home/apt,4,1.0,1.0,3.0,129.0,75.0,1,0,5
6516529,98107,Apartment,Entire home/apt,2,1.0,1.0,1.0,100.0,0.0,1,0,1
3294243,98107,Apartment,Entire home/apt,4,2.0,2.0,2.0,150.0,0.0,1,0,2
10210971,98107,Townhouse,Private room,1,1.0,1.0,1.0,50.0,10.0,1,1,1
3584790,98117,Apartment,Entire home/apt,6,1.0,2.0,3.0,99.0,0.0,4,0,5
1266459,98107,Apartment,Entire home/apt,2,1.5,1.0,1.0,150.0,60.0,2,1,2
9098059,98107,Bungalow,Entire home/apt,4,1.0,1.0,3.0,105.0,0.0,1,0,2
4118282,98117,House,Entire home/apt,5,1.5,2.0,2.0,80.0,75.0,1,0,1
6813483,98107,Apartment,Entire home/apt,2,1.0,1.0,1.0,126.0,95.0,2,1,2
6590264,98107,Apartment,Entire home/apt,4,1.0,1.0,2.0,115.0,50.0,2,1,1
2650482,98107,Apartment,Entire home/apt,4,2.0,2.0,2.0,225.0,75.0,1,0,2
20927,98107,Cabin,Entire home/apt,2,1.0,1.0,1.0,89.0,10.0,2,0,2
4995903,98107,House,Entire home/apt,1,1.0,0.0,1.0,50.0,0.0,1,0,1
5549211,98107,Apartment,Entire home/apt,4,1.0,1.0,2.0,134.0,100.0,1,0,3
8240758,98107,Apartment,Entire home/apt,2,1.0,1.0,1.0,75.0,100.0,1,0,3
6856295,98107,House,Private room,2,1.0,1.0,1.0,65.0,0.0,2,1,1
6881188,98107,House,Entire home/apt,6,2.5,3.0,4.0,375.0,100.0,1,0,1
1579615,98107,House,Entire home/apt,3,1.0,1.0,2.0,97.0,45.0,2,1,2
3766866,98107,Condominium,Entire home/apt,2,1.0,1.0,1.0,145.0,45.0,2,1,2
2406966,98107,Apartment,Entire home/apt,5,1.0,2.0,4.0,129.0,75.0,1,0,5
