id,host_is_superhost,zipcode,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,cancellation_policy,host_experience
3245876,0,98119,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,66.0,100.0,35.0,1,1,1,10,84,95.0,moderate,3.0
4933447,1,98119,House,Private room,2,1.0,1.0,1.0,Real Bed,99.0,100.0,15.0,1,0,2,14,45,98.0,moderate,2.0
7735464,0,98119,Apartment,Private room,2,2.0,1.0,1.0,Futon,200.0,,,1,0,1,1125,0,,flexible,3.0
6291829,0,98119,House,Entire home/apt,10,3.5,5.0,5.0,Real Bed,700.0,500.0,250.0,1,0,3,30,5,85.0,flexible,1.0
9218403,0,98119,Condominium,Entire home/apt,1,1.0,1.0,1.0,Real Bed,110.0,,,1,0,1,1125,1,100.0,flexible,2.0
4125779,0,98119,House,Private room,3,1.5,1.0,2.0,Real Bed,99.0,,15.0,1,1,1,1125,11,84.0,moderate,2.0
8942678,0,98119,House,Entire home/apt,8,2.0,4.0,4.0,Real Bed,450.0,,,1,0,4,1125,1,100.0,flexible,1.0
10106055,0,98119,House,Private room,2,1.0,1.0,1.0,Real Bed,75.0,,,1,0,1,1125,0,,flexible,1.0
6362362,0,98119,House,Entire home/apt,5,2.5,3.0,3.0,Real Bed,600.0,500.0,150.0,1,0,3,1125,1,100.0,moderate,1.0
3544550,0,98119,House,Entire home/apt,8,2.5,3.0,5.0,Real Bed,450.0,500.0,200.0,6,1,4,1125,8,100.0,strict,2.0
9025039,0,98119,House,Entire home/apt,5,1.0,2.0,3.0,Real Bed,150.0,250.0,35.0,1,0,1,1125,0,,flexible,6.0
3200646,1,98119,Camper/RV,Private room,2,1.0,1.0,1.0,Real Bed,45.0,150.0,25.0,1,0,2,7,80,95.0,strict,4.0
8859380,0,98119,Apartment,Entire home/apt,6,2.0,3.0,3.0,Real Bed,300.0,500.0,125.0,1,0,2,1125,6,100.0,moderate,4.0
4520099,0,98119,Apartment,Entire home/apt,3,1.0,1.0,2.0,Real Bed,80.0,,65.0,3,1,2,1125,4,85.0,strict,3.0
2481869,1,98119,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,175.0,,40.0,1,0,2,365,38,96.0,strict,3.0
1110749,0,98119,House,Entire home/apt,6,1.5,3.0,3.0,Real Bed,325.0,500.0,100.0,6,1,2,1125,68,92.0,strict,3.0
5978498,0,98119,House,Entire home/apt,4,3.0,3.0,2.0,Real Bed,175.0,200.0,80.0,1,0,4,120,8,88.0,flexible,1.0
5021081,0,98119,House,Entire home/apt,7,3.5,4.0,3.0,Real Bed,222.0,500.0,250.0,7,1,2,1125,5,75.0,strict,1.0
1686930,0,98119,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,159.0,250.0,99.0,1,0,1,1125,62,97.0,strict,3.0
7680289,0,98119,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,125.0,,50.0,2,1,2,365,19,95.0,moderate,1.0
7207641,0,98119,House,Entire home/apt,8,3.0,3.0,3.0,Real Bed,348.0,750.0,150.0,6,1,3,1125,5,96.0,strict,3.0
5062445,0,98119,House,Private room,1,1.0,1.0,1.0,Futon,45.0,,,1,0,1,1125,7,97.0,flexible,2.0
8925878,0,98119,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,150.0,,50.0,2,1,2,365,2,100.0,moderate,1.0
6389657,1,98109,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,80.0,,20.0,1,0,3,1125,11,98.0,flexible,4.0
4218733,0,98119,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,110.0,100.0,40.0,2,1,2,1125,71,90.0,moderate,2.0
2715623,0,98119,House,Entire home/apt,3,1.0,1.0,2.0,Real Bed,148.0,,100.0,2,1,3,365,9,91.0,strict,3.0
1392332,0,98119,House,Entire home/apt,4,1.5,2.0,2.0,Real Bed,350.0,500.0,100.0,4,0,2,30,41,98.0,moderate,4.0
7308567,1,98119,Apartment,Entire home/apt,3,1.5,1.0,2.0,Real Bed,150.0,,50.0,1,0,2,1125,18,98.0,moderate,2.0
6575380,0,98109,House,Private room,5,1.0,1.0,1.0,Real Bed,150.0,,,1,0,1,1125,9,100.0,flexible,1.0
6004058,0,98119,Apartment,Entire home/apt,2,1.0,0.0,1.0,Futon,100.0,,,1,0,1,1125,20,92.0,flexible,3.0
9550869,0,98119,Bungalow,Entire home/apt,10,3.0,4.0,4.0,Real Bed,349.0,,200.0,1,0,1,1125,0,,strict,2.0
8515408,0,98119,Bungalow,Entire home/apt,2,1.0,0.0,1.0,Real Bed,110.0,,50.0,1,0,2,1125,3,100.0,moderate,4.0
5383192,0,98119,House,Entire home/apt,4,1.0,1.0,2.0,Real Bed,160.0,100.0,55.0,2,1,2,1125,1,100.0,moderate,1.0
1112092,0,98119,House,Entire home/apt,4,1.0,1.0,3.0,Real Bed,130.0,140.0,75.0,2,1,3,1125,26,95.0,moderate,3.0
7772661,0,98119,House,Entire home/apt,2,1.0,0.0,1.0,Real Bed,99.0,,50.0,2,1,1,1125,2,100.0,moderate,1.0
9254900,0,98119,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,100.0,,40.0,1,0,1,1125,0,,flexible,1.0
7714294,0,98119,Apartment,Entire home/apt,3,1.0,1.0,1.0,Futon,137.0,,20.0,2,1,2,1125,3,100.0,moderate,4.0
10310373,0,98119,Apartment,Private room,3,1.0,1.0,1.0,Real Bed,20.0,,,1,0,1,1125,0,,flexible,0.0
9368342,0,98119,Townhouse,Entire home/apt,2,1.5,1.0,1.0,Real Bed,150.0,500.0,50.0,2,1,4,1125,0,,strict,5.0
6361863,0,98119,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,145.0,100.0,30.0,2,1,2,1125,44,94.0,moderate,2.0
8105221,0,98119,Townhouse,Private room,2,1.0,1.0,1.0,Futon,80.0,,,1,0,1,1125,10,100.0,flexible,2.0
3269390,1,98119,House,Entire home/apt,2,1.0,0.0,1.0,Real Bed,95.0,200.0,60.0,1,0,3,1125,77,98.0,moderate,2.0
4566393,0,98119,House,Entire home/apt,4,2.5,3.0,3.0,Real Bed,400.0,750.0,120.0,4,1,2,1125,0,,moderate,2.0
9282409,0,98119,House,Private room,2,2.0,1.0,1.0,Real Bed,85.0,,,1,0,2,1125,2,100.0,moderate,5.0
8095168,0,98119,Apartment,Private room,2,1.0,1.0,1.0,Futon,70.0,,20.0,1,0,1,1125,1,100.0,flexible,4.0
2746782,1,98119,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,90.0,150.0,25.0,1,0,2,14,109,97.0,strict,4.0
6424982,0,98119,House,Private room,2,1.0,1.0,1.0,Real Bed,80.0,,,2,1,1,6,52,92.0,flexible,1.0
762029,1,98119,Camper/RV,Private room,2,1.0,1.0,2.0,Real Bed,60.0,150.0,25.0,2,0,2,7,191,97.0,strict,4.0
8988281,0,98119,House,Entire home/apt,4,1.0,2.0,2.0,Real Bed,175.0,250.0,78.0,4,1,1,15,0,,moderate,1.0
7077910,0,98107,House,Entire home/apt,6,2.5,3.0,4.0,Real Bed,170.0,250.0,100.0,6,1,4,1125,9,91.0,strict,4.0
3772674,0,98107,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,85.0,,50.0,2,1,3,1125,65,98.0,moderate,2.0
7021906,1,98107,House,Entire home/apt,12,3.5,5.0,7.0,Real Bed,465.0,1000.0,250.0,1,0,3,1125,5,96.0,strict,1.0
7618605,0,98107,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,175.0,250.0,50.0,1,0,1,1125,5,96.0,flexible,3.0
10234558,0,98107,Condominium,Private room,2,1.0,1.0,1.0,Real Bed,50.0,,,0,0,1,1125,0,,flexible,1.0
7021702,0,98107,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,60.0,,,1,0,1,1125,0,,flexible,1.0
7680439,0,98107,House,Private room,2,1.0,1.0,1.0,Pull-out Sofa,59.0,,12.0,1,0,1,1125,16,93.0,flexible,4.0
4258515,0,98107,Apartment,Private room,4,1.0,1.0,4.0,Real Bed,47.0,200.0,15.0,2,1,1,1125,23,77.0,strict,5.0
1148517,0,98107,House,Entire home/apt,4,1.0,2.0,2.0,Real Bed,145.0,100.0,45.0,4,1,2,14,45,97.0,moderate,3.0
2487892,0,98107,House,Private room,2,1.0,1.0,1.0,Futon,70.0,,,1,0,1,1125,75,94.0,flexible,5.0
3038772,0,98107,House,Private room,2,1.0,1.0,1.0,Real Bed,55.0,100.0,25.0,1,1,2,1125,86,94.0,moderate,2.0
699460,1,98107,House,Private room,4,1.0,1.0,2.0,Real Bed,95.0,,30.0,2,1,2,90,151,97.0,moderate,4.0
4085439,0,98107,House,Private room,2,1.0,1.0,1.0,Real Bed,125.0,,,1,0,1,1125,6,92.0,flexible,2.0
8053990,0,98107,House,Private room,2,1.0,1.0,1.0,Real Bed,65.0,,45.0,1,0,1,26,16,94.0,moderate,2.0
7011773,0,98107,House,Private room,1,1.0,1.0,1.0,Pull-out Sofa,25.0,,,1,0,1,1125,0,,flexible,2.0
2467550,0,98107,House,Entire home/apt,4,1.0,0.0,2.0,Real Bed,40.0,500.0,50.0,2,1,5,1125,0,,strict,5.0
2686374,0,98107,House,Entire home/apt,6,1.0,3.0,4.0,Real Bed,149.0,,,4,1,1,1125,165,95.0,moderate,4.0
1956274,1,98107,Apartment,Entire home/apt,2,1.5,1.0,1.0,Real Bed,125.0,250.0,75.0,0,0,3,1125,48,100.0,strict,3.0
8537192,0,98107,House,Private room,2,0.5,1.0,1.0,Real Bed,55.0,,,1,0,1,1125,0,,flexible,1.0
5919096,1,98107,Apartment,Entire home/apt,4,1.0,1.0,3.0,Real Bed,129.0,250.0,75.0,1,0,5,999,2,100.0,strict,7.0
6516529,0,98107,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,100.0,,,1,0,1,1125,0,,strict,4.0
3294243,1,98107,Apartment,Entire home/apt,4,2.0,2.0,2.0,Real Bed,150.0,,,1,0,2,1125,27,93.0,moderate,3.0
10210971,0,98107,Townhouse,Private room,1,1.0,1.0,1.0,Real Bed,50.0,500.0,10.0,1,1,1,1125,0,,flexible,2.0
3584790,0,98117,Apartment,Entire home/apt,6,1.0,2.0,3.0,Real Bed,99.0,200.0,,4,0,5,15,0,,moderate,4.0
1266459,0,98107,Apartment,Entire home/apt,2,1.5,1.0,1.0,Real Bed,150.0,,60.0,2,1,2,1125,9,98.0,strict,4.0
9098059,0,98107,Bungalow,Entire home/apt,4,1.0,1.0,3.0,Real Bed,105.0,,,1,0,2,1125,0,,flexible,1.0
408526,0,98107,House,Entire home/apt,7,4.0,3.0,3.0,Real Bed,218.0,750.0,300.0,4,1,14,60,0,,strict,4.0
4118282,0,98117,House,Entire home/apt,5,1.5,2.0,2.0,Real Bed,80.0,200.0,75.0,1,0,1,7,88,95.0,moderate,2.0
6813483,0,98107,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,126.0,300.0,95.0,2,1,2,1125,10,98.0,moderate,1.0
6590264,0,98107,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,115.0,500.0,50.0,2,1,1,1125,5,96.0,strict,2.0
2650482,0,98107,Apartment,Entire home/apt,4,2.0,2.0,2.0,Real Bed,225.0,,75.0,1,0,2,10,10,98.0,flexible,6.0
20927,1,98107,Cabin,Entire home/apt,2,1.0,1.0,1.0,Futon,89.0,,10.0,2,0,2,14,244,97.0,moderate,6.0
4395578,0,98107,House,Entire home/apt,8,2.5,3.0,5.0,Real Bed,225.0,,264.0,1,0,3,1125,1,100.0,strict,5.0
4995903,0,98107,House,Entire home/apt,1,1.0,0.0,1.0,Real Bed,50.0,,,1,0,1,1125,0,,flexible,2.0
5549211,1,98107,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,134.0,200.0,100.0,1,0,3,45,40,98.0,strict,1.0
8240758,0,98107,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,75.0,,100.0,1,0,3,1125,2,80.0,moderate,2.0
