20200709_081207;xgboost;0.9153701217704475;{'booster': 'gbtree', 'colsample_bylevel': 0.9, 'colsample_bynode': 1, 'colsample_bytree': 0.9, 'eta': 0.1, 'gamma': 1, 'learning_rate': 0.2, 'max_delta_step': 0, 'max_depth': 10, 'min_child_weight': 3, 'n_estimators': 250, 'reg_alpha': 100, 'reg_lambda': 1, 'subsample': 1, 'tree_method': 'auto'};0.9185911005517116;20.859090240066045;11.911629667408343
20200709_081537;xgboost;0.9153701217704475;{'booster': 'gbtree', 'colsample_bylevel': 0.9, 'colsample_bynode': 1, 'colsample_bytree': 0.9, 'eta': 0.1, 'gamma': 1, 'learning_rate': 0.2, 'max_delta_step': 0, 'max_depth': 10, 'min_child_weight': 3, 'n_estimators': 243, 'reg_alpha': 100, 'reg_lambda': 1, 'subsample': 1, 'tree_method': 'auto'};0.9185983035891426;20.85816741631805;11.911542674866824
20200709_081650;xgboost;0.9153701217704475;{'booster': 'gbtree', 'colsample_bylevel': 0.9, 'colsample_bynode': 1, 'colsample_bytree': 0.9, 'eta': 0.1, 'gamma': 1, 'learning_rate': 0.2, 'max_delta_step': 0, 'max_depth': 10, 'min_child_weight': 3, 'n_estimators': 242, 'reg_alpha': 100, 'reg_lambda': 1, 'subsample': 1, 'tree_method': 'auto'};0.9185715772521809;20.861591280226527;11.914604394042822
20200709_081858;xgboost;0.9153701217704475;{'booster': 'gbtree', 'colsample_bylevel': 0.9, 'colsample_bynode': 1, 'colsample_bytree': 0.9, 'eta': 0.1, 'gamma': 1, 'learning_rate': 0.2, 'max_delta_step': 0, 'max_depth': 10, 'min_child_weight': 3, 'n_estimators': 244, 'reg_alpha': 100, 'reg_lambda': 1, 'subsample': 1, 'tree_method': 'auto'};0.918570205597705;20.86176698530333;11.914361252308465
20200709_081941;xgboost;0.9153701217704475;{'booster': 'gbtree', 'colsample_bylevel': 0.9, 'colsample_bynode': 1, 'colsample_bytree': 0.9, 'eta': 0.1, 'gamma': 1, 'learning_rate': 0.2, 'max_delta_step': 0, 'max_depth': 10, 'min_child_weight': 3, 'n_estimators': 243, 'reg_alpha': 100, 'reg_lambda': 1, 'subsample': 1, 'tree_method': 'auto'};0.9185983035891426;20.85816741631805;11.911542674866824
20200709_191026;xgboost;0.917994659899812;{'booster': 'gbtree', 'colsample_bylevel': 0.9, 'colsample_bynode': 1, 'colsample_bytree': 0.9, 'eta': 0.1, 'gamma': 1, 'learning_rate': 0.2, 'max_delta_step': 0, 'max_depth': 10, 'min_child_weight': 3, 'n_estimators': 243, 'reg_alpha': 100, 'reg_lambda': 1, 'subsample': 1, 'tree_method': 'auto'};0.9220449798072432;18.621191183376315;10.854956339206513
20200709_191346;xgboost;0.917994659899812;{'booster': 'gbtree', 'colsample_bylevel': 0.9, 'colsample_bynode': 1, 'colsample_bytree': 0.9, 'eta': 0.1, 'gamma': 1, 'learning_rate': 0.2, 'max_delta_step': 0, 'max_depth': 10, 'min_child_weight': 3, 'n_estimators': 243, 'reg_alpha': 100, 'reg_lambda': 1, 'subsample': 1, 'tree_method': 'auto'};0.9220449798072432;18.621191183376315;10.854956339206513
20200709_191618;xgboost;0.917994659899812;{'booster': 'gbtree', 'colsample_bylevel': 0.9, 'colsample_bynode': 1, 'colsample_bytree': 0.9, 'eta': 0.1, 'gamma': 1, 'learning_rate': 0.2, 'max_delta_step': 0, 'max_depth': 10, 'min_child_weight': 3, 'n_estimators': 242, 'reg_alpha': 100, 'reg_lambda': 1, 'subsample': 1, 'tree_method': 'auto'};0.9220474145305066;18.62090038875357;10.855658548706119
20200709_191744;xgboost;0.917994659899812;{'booster': 'gbtree', 'colsample_bylevel': 0.9, 'colsample_bynode': 1, 'colsample_bytree': 0.9, 'eta': 0.1, 'gamma': 1, 'learning_rate': 0.2, 'max_delta_step': 0, 'max_depth': 10, 'min_child_weight': 3, 'n_estimators': 244, 'reg_alpha': 100, 'reg_lambda': 1, 'subsample': 1, 'tree_method': 'auto'};0.9220775139460983;18.617305047238105;10.852880115098055
20200709_191837;xgboost;0.917994659899812;{'booster': 'gbtree', 'colsample_bylevel': 0.9, 'colsample_bynode': 1, 'colsample_bytree': 0.9, 'eta': 0.1, 'gamma': 1, 'learning_rate': 0.2, 'max_delta_step': 0, 'max_depth': 10, 'min_child_weight': 3, 'n_estimators': 245, 'reg_alpha': 100, 'reg_lambda': 1, 'subsample': 1, 'tree_method': 'auto'};0.9221559141538257;18.60793696891424;10.84826139223024
20200709_191949;xgboost;0.917994659899812;{'booster': 'gbtree', 'colsample_bylevel': 0.9, 'colsample_bynode': 1, 'colsample_bytree': 0.9, 'eta': 0.1, 'gamma': 1, 'learning_rate': 0.2, 'max_delta_step': 0, 'max_depth': 10, 'min_child_weight': 3, 'n_estimators': 246, 'reg_alpha': 100, 'reg_lambda': 1, 'subsample': 1, 'tree_method': 'auto'};0.9221672432191829;18.606582863445322;10.846601717971483
20200709_192036;xgboost;0.917994659899812;{'booster': 'gbtree', 'colsample_bylevel': 0.9, 'colsample_bynode': 1, 'colsample_bytree': 0.9, 'eta': 0.1, 'gamma': 1, 'learning_rate': 0.2, 'max_delta_step': 0, 'max_depth': 10, 'min_child_weight': 3, 'n_estimators': 250, 'reg_alpha': 100, 'reg_lambda': 1, 'subsample': 1, 'tree_method': 'auto'};0.9221371774178797;18.61017625928847;10.839024667729761
20200709_192151;xgboost;0.917994659899812;{'booster': 'gbtree', 'colsample_bylevel': 0.9, 'colsample_bynode': 1, 'colsample_bytree': 0.9, 'eta': 0.1, 'gamma': 1, 'learning_rate': 0.2, 'max_delta_step': 0, 'max_depth': 10, 'min_child_weight': 3, 'n_estimators': 260, 'reg_alpha': 100, 'reg_lambda': 1, 'subsample': 1, 'tree_method': 'auto'};0.9221778459909717;18.6053154788687;10.818570168015814
20200709_192241;xgboost;0.917994659899812;{'booster': 'gbtree', 'colsample_bylevel': 0.9, 'colsample_bynode': 1, 'colsample_bytree': 0.9, 'eta': 0.1, 'gamma': 1, 'learning_rate': 0.2, 'max_delta_step': 0, 'max_depth': 10, 'min_child_weight': 3, 'n_estimators': 270, 'reg_alpha': 100, 'reg_lambda': 1, 'subsample': 1, 'tree_method': 'auto'};0.922295110418426;18.591292709960744;10.796194658983474
